"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","AIRPORT_WAC_SEQ_ID2","AIRPORT_WAC","AIRPORT_COUNTRY_CODE_ISO","LAT_DEGREES","LATITUDE","LON_DEGREES","LONGITUDE",
1656301,16563,"OEO","L O Simenstad Municipal",4501,45,"US",45,45.30944444,92,-92.69000000,
1656401,16564,"RMF","Marsa Alam International",59101,591,"EG",25,25.55722222,34,34.58361111,
1656501,16565,"CO5","Puerto Bolivar",32701,327,"CO",12,12.22166667,71,-71.98416667,
1656601,16566,"NV2","Jean Airport",8501,85,"US",35,35.76833333,115,-115.32972222,
1656701,16567,"7AK","Akun Airport",101,1,"US",54,54.14472222,165,-165.60416667,
1656801,16568,"NJ4","Ocean City Municipal",2101,21,"US",39,39.26333333,74,-74.60750000,
1656901,16569,"NY9","Hornell Municipal",2201,22,"US",42,42.38222222,77,-77.68222222,
1657001,16570,"YWS","Green Lake",90601,906,"CA",51,51.42944444,121,-121.20972222,
1657101,16571,"1NY","Penn Yan Airport",2201,22,"US",42,42.63694444,77,-77.05277778,
1657102,16571,"1NY","Penn Yan Airport",2201,22,"US",42,42.63722222,77,-77.05277778,
1657103,16571,"1NY","Penn Yan Airport",2201,22,"US",42,42.63694444,77,-77.05277778,
1657201,16572,"NV3","Searchlight Airport",8501,85,"US",35,35.44444444,114,-114.90944444,
1657301,16573,"BBW","Broken Bow Municipal Kieth Glaze Field",6501,65,"US",41,41.43638889,99,-99.64222222,
1657302,16573,"BBW","Broken Bow Municipal Keith Glaze Field",6501,65,"US",41,41.43638889,99,-99.64222222,
1657303,16573,"BBW","Broken Bow Municipal",6501,65,"US",41,41.43638889,99,-99.64222222,
1657304,16573,"BBW","Broken Bow Municipal Keith Glaze Field",6501,65,"US",41,41.43638889,99,-99.64222222,
1657401,16574,"BGH","Abbaye",54501,545,"MR",16,16.63333333,14,-14.20000000,
1657501,16575,"SLM","Matacan",48201,482,"ES",40,40.96666667,5,-5.65000000,
1657601,16576,"ZKP","Kasompe",59701,597,"ZM",12,-12.57277778,27,27.89388889,
1657701,16577,"SC4","Berkeley County",3701,37,"US",33,33.18555556,80,-80.03611111,
1657801,16578,"NJF","Al Najaf Airport",63401,634,"IQ",31,31.98972222,44,44.40444444,
1657802,16578,"NJF","Al Najaf International",63401,634,"IQ",31,31.98972222,44,44.40444444,
1657803,16578,"NJF","Al Najaf Airport",63401,634,"IQ",31,31.98972222,44,44.40444444,
1657804,16578,"NJF","Al Najaf International",63401,634,"IQ",31,31.98972222,44,44.40444444,
1657901,16579,"HTY","Hatay Airport",73601,736,"JP",36,36.36222222,36,36.28750000,
1658001,16580,"AK5","Qugruc Airport",101,1,"US",70,70.37027778,150,-150.42111111,
1658101,16581,"AK6","Gold King 2 Airport",101,1,"US",64,64.07138889,148,-148.00000000,
1658201,16582,"GA5","Thomson McDuffie County",3401,34,"US",33,33.52972222,82,-82.51694444,
1658301,16583,"SC5","Summerville Airport",3701,37,"US",33,33.06333333,80,-80.27944444,
1658302,16583,"SC5","Summerville Airport",3701,37,"US",33,33.06222222,80,-80.28083333,
1658401,16584,"AK7","Hunter Creek",101,1,"US",65,65.47722222,150,-150.05083333,
1658501,16585,"NJ5","Sussex Airport",2101,21,"US",41,41.20027778,74,-74.62305556,
1658601,16586,"KOM","Komo Old",80401,804,"PG",6,-6.06805556,142,142.85972222,
1658602,16586,"KOM","Komo Airport",80401,804,"PG",6,-6.06722222,142,142.85888889,
1658603,16586,"KOM","Komo Old",80401,804,"PG",6,-6.06805556,142,142.85972222,
1658701,16587,"NB1","St Stephen Airport",94601,946,"CA",45,45.20750000,67,-67.25055556,
1658801,16588,"VT1","Mount Snow",1601,16,"US",42,42.92722222,72,-72.86555556,
1658802,16588,"VT1","Deerfield Valley Regional",1601,16,"US",42,42.92722222,72,-72.86555556,
1658803,16588,"VT1","Mount Snow",1601,16,"US",42,42.92722222,72,-72.86555556,
1658804,16588,"VT1","Deerfield Valley Regional",1601,16,"US",42,42.92722222,72,-72.86555556,
1658901,16589,"MN6","Hallock Municipal",6301,63,"US",48,48.75277778,96,-96.94305556,
1659001,16590,"MBE","Monbetsu Airport",73601,736,"JP",44,44.30388889,143,143.40416667,
1659101,16591,"HSG","Saga Airport",73601,736,"JP",33,33.14972222,130,130.30222222,
1659201,16592,"AE1","Liwa Airbase",67801,678,"AE",23,23.65138889,53,53.82333333,
1659301,16593,"HFE","Xinqiao",71301,713,"CN",31,31.98833333,116,116.97638889,
1659302,16593,"HFE","Xinqiao",71301,713,"CN",31,31.98833333,116,116.97638889,
1659401,16594,"CT3","Windham",1101,11,"US",41,41.74416667,72,-72.18027778,
1659501,16595,"KEJ","Kemerovo Airport",77001,770,"RU",55,55.27000000,86,86.10750000,
1659502,16595,"KEJ","Alexey Leonov",77001,770,"RU",55,55.27000000,86,86.10750000,
1659503,16595,"KEJ","Kemerovo Airport",77001,770,"RU",55,55.27000000,86,86.10750000,
1659504,16595,"KEJ","Alexey Leonov",77001,770,"RU",55,55.27000000,86,86.10750000,
1659601,16596,"KRW","Turkmenbashi Airport",78501,785,"TM",40,40.06500000,53,53.00555556,
1659602,16596,"KRW","Turkmenbashi Airport",78501,785,"TM",40,40.06333333,53,53.00722222,
1659603,16596,"KRW","Turkmenbashi Airport",78501,785,"TM",40,40.06500000,53,53.00555556,
1659701,16597,"SIR","Sion Airport",48601,486,"CH",46,46.21972222,7,7.32666667,
1659702,16597,"SIR","Sion Airport",48601,486,"CH",46,46.21944444,7,7.32694444,
1659703,16597,"SIR","Sion Airport",48601,486,"CH",46,46.21972222,7,7.32666667,
1659704,16597,"SIR","Sion Airport",48601,486,"CH",46,46.21944444,7,7.32694444,
1659801,16598,"CA7","Tracy Municipal",9101,91,"US",37,37.68888889,121,-121.44166667,
1659901,16599,"YBW","Bedwell Harbour Water Aerodrome",90601,906,"CA",48,48.74722222,123,-123.22972222,
1660001,16600,"BC2","Farewell Harbour",90601,906,"CA",50,50.60833333,126,-126.84444444,
1660101,16601,"BC3","Bliss Landing Water Aerodrome",90601,906,"CA",50,50.03333333,124,-124.82222222,
1660201,16602,"BC4","Cordero Lodge Airport",90601,906,"CA",50,50.44666667,125,-125.45277778,
1660301,16603,"DHB","Deer Harbor Marina",9301,93,"US",48,48.62083333,123,-123.00305556,
1660401,16604,"BC5","Dent Island Lodge",90601,906,"CA",50,50.41111111,125,-125.18333333,
1660501,16605,"BC6","Egmont Water Aerodrome",90601,906,"CA",49,49.75277778,123,-123.93027778,
1660601,16606,"YMF","Galiano Island Water Aerodrome",90601,906,"CA",48,48.89194444,123,-123.39166667,
1660701,16607,"BC8","Pacific Outback Resort",90601,906,"CA",50,50.59166667,126,-126.76666667,
1660702,16607,"BC8","Pacific Outback Resort",90601,906,"CA",50,50.58416667,126,-126.75166667,
